"feature","id","fc","pval","qval","logFC"
"gene","MSTRG.7160",0.612602501921838,0.00265910665264735,0.00874487397623648,-0.706976835846577
"gene","MSTRG.34839",1.54383731191524,0.0026605258371778,0.00874562414657701,0.626520730805876
"gene","MSTRG.33825",1.53723018811745,0.00266096177842767,0.00874562414657701,0.620333213428328
"gene","MSTRG.34739",0.649717442288363,0.00266158145375361,0.00874562414657701,-0.622115658650017
"gene","MSTRG.37819",0.546998195203998,0.0026731249790356,0.0087810839677012,-0.870392021969234
"gene","MSTRG.10560",1.23549710027033,0.00267537514178717,0.00878600419172964,0.305091624644418
"gene","MSTRG.12483",0.75266516630896,0.00267678308770858,0.00878815656403171,-0.409919890466018
"gene","MSTRG.10490",1.84397750720456,0.00267839446808593,0.00879097543516231,0.882821057913478
"gene","MSTRG.27140",1.19307957133193,0.00268175748615085,0.0087987175082357,0.254690265445336
"gene","MSTRG.19914",1.19281638961176,0.00268226017548545,0.0087987175082357,0.254371985880506
"gene","MSTRG.23602",1.37265482634718,0.00268379250504336,0.00880127179834213,0.456968884826561
"gene","MSTRG.19648",1.61972161066975,0.00269136931007674,0.00882364143825833,0.695745871493033
"gene","MSTRG.23286",0.788244778253849,0.00269480352479023,0.00883242087075508,-0.34328438711447
"gene","MSTRG.34998",1.2224455353429,0.0026988642664687,0.00884324828951221,0.289770188988471
"gene","MSTRG.33322",0.798666892882933,0.00270081572259184,0.00884716017066691,-0.324334183962105
"gene","MSTRG.35026",1.22142964542617,0.00271937181508175,0.00890544701529015,0.28857076649676
"gene","MSTRG.16871",0.260654643291722,0.00272712818800536,0.00892834398080363,-1.93978853461093
"gene","MSTRG.22765",1.29879061932884,0.0027315316552583,0.00894025411157692,0.377168869736154
"gene","MSTRG.34997",1.21811657148751,0.00274126844837819,0.00896960855706373,0.284652203079688
"gene","MSTRG.20870",1.38616268361484,0.00275139942966884,0.00900023600551058,0.471096585809301
"gene","MSTRG.15137",1.27542879438744,0.00275419841524349,0.00900509025870475,0.350982357308347
"gene","MSTRG.32561",0.77152930992991,0.002754425621176,0.00900509025870475,-0.374207129941873
"gene","MSTRG.6560",1.29171585617664,0.00275725848414754,0.00901182887709907,0.36928874962253
"gene","MSTRG.4173",1.39421239373682,0.00276003607429343,0.00901838312132027,0.479450357511747
"gene","MSTRG.15643",0.847905524391006,0.00276381339000142,0.00902819937578647,-0.238024569586745
"gene","MSTRG.27241",2.60139888652139,0.00277085387833376,0.00904866655234385,1.37928763245428
"gene","MSTRG.33629",1.51890672190071,0.00277692597661838,0.0090659607366367,0.603033274722613
"gene","MSTRG.2654",7.30187690970056,0.00278243593159611,0.00908141051122955,2.8682673489616
"gene","MSTRG.38685",2.32852929742063,0.00278676096399433,0.00909298534158306,1.2194190341778
"gene","MSTRG.34899",0.631562706483367,0.00278860881435627,0.00909647311007055,-0.663002111719611
"gene","MSTRG.1527",0.801241465661733,0.00279177002670539,0.00910424193573457,-0.319691009786957
"gene","MSTRG.29325",0.751070680546883,0.00279425627222685,0.00910980590370327,-0.412979413943703
"gene","MSTRG.35057",3.72411361333965,0.00279802386493289,0.00911954303507849,1.89689708656519
"gene","MSTRG.10907",1.85964834842641,0.00280333511673903,0.00913430454611561,0.895029839642493
"gene","MSTRG.23074",1.51173625904188,0.00280620539029164,0.00914110642896116,0.596206465642524
"gene","MSTRG.9159",1.36130855162007,0.00281524442100156,0.00916799340447748,0.444994102433643
"gene","MSTRG.3336",3.47174908228559,0.00282436483434267,0.00919513034163751,1.79566268199222
"gene","MSTRG.7322",0.640239622453025,0.00282837626759336,0.00920562376057838,-0.643316131300298
"gene","MSTRG.4287",1.5599254014951,0.00282944658020523,0.00920654142202192,0.641477038403931
"gene","MSTRG.12077",0.373968419696284,0.00283731062108561,0.00922955805934199,-1.41901165009859
"gene","MSTRG.20741",0.787649913773706,0.00284143983869067,0.0092383297932091,-0.344373556436007
"gene","MSTRG.458",0.630328105512523,0.00284158936609069,0.0092383297932091,-0.665825102820738
"gene","MSTRG.20356",1.47253827924491,0.00285482518158697,0.00927877775412543,0.558305138000718
"gene","MSTRG.1503",1.4261686594334,0.00286238932285987,0.00930077421045008,0.51214460572274
"gene","MSTRG.3368",1.52920158968482,0.00286597580214931,0.00930810962505578,0.612778605042731
"gene","MSTRG.35000",1.23827373296708,0.00286624098404697,0.00930810962505578,0.308330272178294
"gene","MSTRG.18510",1.3586581828032,0.0028751900314411,0.00933457580961055,0.442182542196236
"gene","MSTRG.39224",0.391379037190542,0.00288151726058949,0.00935251766791665,-1.35336160962055
"gene","MSTRG.19104",1.61726587357445,0.00288260676372132,0.0093534542336031,0.693556872971372
"gene","MSTRG.900",1.64772312103711,0.0028863685510564,0.00936305887201016,0.720473836291626
"gene","MSTRG.30121",0.67565976504852,0.00289040098256654,0.00937353587181674,-0.565631148444899
"gene","MSTRG.18048",0.687492753442021,0.00289492645030065,0.00938560552099139,-0.540583588094861
"gene","MSTRG.30389",0.739357528544122,0.0028971851516495,0.00939032145461082,-0.435655922769599
"gene","MSTRG.6470",0.823550825740374,0.00290025462207144,0.00939766189693404,-0.280070405736135
"gene","MSTRG.24508",1.37384848527989,0.00290279124473325,0.00940069408874848,0.458222905474467
"gene","MSTRG.6288",1.24510730153209,0.00290280038397217,0.00940069408874848,0.31627007700634
"gene","MSTRG.11015",0.569765721299526,0.00290856984499399,0.00941676702241193,-0.811559267186268
"gene","MSTRG.23891",1.54492499394613,0.00291428271576466,0.00943264788101433,0.627536797036619
"gene","MSTRG.33727",1.20663306253603,0.0029206158931292,0.00945052712661756,0.270987018807471
"gene","MSTRG.12073",0.383002242518472,0.00292576140873779,0.00946455449618835,-1.38457525558097
"gene","MSTRG.13766",1.24839636140928,0.00292674248254365,0.00946510626174046,0.320076057479956
"gene","MSTRG.12378",1.33830108268802,0.00292916643703978,0.00947032271643148,0.420402721088678
"gene","MSTRG.26835",1.28345866867562,0.00293572169060918,0.00948888953859232,0.360036837435098
