"","gene_id","gene_name"
"7946","MSTRG.991","FOXJ3"
"7954","MSTRG.992","RIMKLA"
"7964","MSTRG.995","."
"7968","MSTRG.995","PPCS"
"8016","MSTRG.997","TMSB4XP1"
"8035","MSTRG.1000","PPIH"
"8055","MSTRG.1001","."
"8058","MSTRG.1003","YBX1"
"8065","MSTRG.1004","P3H1"
"8080","MSTRG.1005","C1orf50"
"8098","MSTRG.1007","SVBP"
"8099","MSTRG.1007","."
"8103","MSTRG.1008","ERMAP"
"8132","MSTRG.1012","SLC2A1"
"8169","MSTRG.1019","EBNA1BP2"
"8201","MSTRG.1022","."
"8203","MSTRG.1022","TMEM125"
"8213","MSTRG.1023","C1orf210"
"8215","MSTRG.1024","."
"8216","MSTRG.1024","TIE1"
"8237","MSTRG.1028","CDC20"
"8238","MSTRG.1028","."
"8242","MSTRG.1029","ELOVL1"
"8261","MSTRG.1031","MED8"
"8262","MSTRG.1031","."
"8270","MSTRG.1033","."
"8275","MSTRG.1033","SZT2"
"8310","MSTRG.1036","."
"8320","MSTRG.1036","HYI"
"8326","MSTRG.1037","."
"8333","MSTRG.1037","PTPRF"
"8354","MSTRG.1039","KDM4A"
"8356","MSTRG.1039","."
"8381","MSTRG.1039","ST3GAL3"
"8478","MSTRG.1048","IPO13"
"8486","MSTRG.1050","."
"8491","MSTRG.1050","DPH2"
"8505","MSTRG.1051","ATP6V0B"
"8517","MSTRG.1052","."
"8519","MSTRG.1052","B4GALT2"
"8557","MSTRG.1053","SLC6A9"
"8606","MSTRG.1057","."
"8612","MSTRG.1057","DMAP1"
"8628","MSTRG.1058","."
"8632","MSTRG.1058","ERI3"
"8664","MSTRG.1061","RNF220"
"8666","MSTRG.1061","."
"8678","MSTRG.1064","TMEM53"
"8714","MSTRG.1068","."
"8717","MSTRG.1068","KIF2C"
"8725","MSTRG.1070","RPS8"
"8731","MSTRG.1070","SNORD46"
"8737","MSTRG.1071","."
"8743","MSTRG.1071","BEST4"
"8747","MSTRG.1072","PLK3"
"8776","MSTRG.1077","."
"8777","MSTRG.1077","EIF2B3"
"8791","MSTRG.1080","."
"8796","MSTRG.1080","HECTD3"
"8805","MSTRG.1081","UROD"
"8806","MSTRG.1081","."
"8844","MSTRG.1085","HPDL"
"8911","MSTRG.1087","TOE1"
"8915","MSTRG.1087","."
"8919","MSTRG.1086","TESK2"
"8938","MSTRG.1091","PRDX1"
"8945","MSTRG.1093","AKR1A1"
"8948","MSTRG.1093","."
"8969","MSTRG.1097","NASP"
"9007","MSTRG.1101","."
"9010","MSTRG.1101","GPBP1L1"
"9026","MSTRG.1104","TMEM69"
"9044","MSTRG.1107","."
"9047","MSTRG.1107","MAST2"
"9069","MSTRG.1109","PIK3R3"
"9081","MSTRG.1113","TSPAN1"
"9085","MSTRG.1113","."
"9095","MSTRG.1114","POMGNT1"
"9135","MSTRG.1114","."
"9158","MSTRG.1117","RAD54L"
"9173","MSTRG.1118","LRRC41"
"9179","MSTRG.1119","UQCRH"
"9185","MSTRG.1121","."
"9188","MSTRG.1121","NSUN4"
"9209","MSTRG.1121","FAAH"
"9245","MSTRG.1128","MKNK1"
"9281","MSTRG.1128","MOB3C"
"9283","MSTRG.1130","ATPAF1"
"9301","MSTRG.1134","EFCAB14"
"9332","MSTRG.1135","."
"9334","MSTRG.1135","CYP4A11"
"9347","MSTRG.1136","CYP4X1"
"9353","MSTRG.1143","CYP4A22"
"9363","MSTRG.1147","PDZK1IP1"
"9364","MSTRG.1147","."
"9400","MSTRG.1151","CMPK1"
"9428","MSTRG.1154","."
"9429","MSTRG.1154","FOXD2"
"9553","MSTRG.1186","FAF1"
"9568","MSTRG.1191","CDKN2C"
"9579","MSTRG.1193","RNF11"
"9582","MSTRG.1194","."
"9590","MSTRG.1194","TTC39A"
"9617","MSTRG.1198","EPS15"
"9665","MSTRG.1202","OSBPL9"
"9696","MSTRG.1208","."
"9699","MSTRG.1208","NRDC"
"9724","MSTRG.1214","TXNDC12"
"9725","MSTRG.1214","."
"9728","MSTRG.1214","KTI12"
"9735","MSTRG.1217","BTF3L4"
"9740","MSTRG.1218","ZFYVE9"
"9754","MSTRG.1226","."
"9756","MSTRG.1226","CC2D1B"
"9769","MSTRG.1229","ORC1"
"9773","MSTRG.1230","PRPF38A"
"9811","MSTRG.1232","GPX7"
"9817","MSTRG.1234","COA7"
"9821","MSTRG.1235","ZYG11B"
"9825","MSTRG.1237","RPS13P2"
"9834","MSTRG.1239","ECHDC2"
"9840","MSTRG.1239","."
"9882","MSTRG.1242","SCP2"
"9895","MSTRG.1247","RRAS2P1"
"9904","MSTRG.1248","."
"9905","MSTRG.1248","PODN"
"9922","MSTRG.1251","SLC1A7"
"9932","MSTRG.1255","CPT2"
"9946","MSTRG.1257","CZIB"
"9954","MSTRG.1258","MAGOH"
"10024","MSTRG.1268","NDC1"
"10030","MSTRG.1270","YIPF1"
"10045","MSTRG.1271","DIO1"
"10057","MSTRG.1272","HSPB11"
"10060","MSTRG.1272","."
"10067","MSTRG.1274","."
"10068","MSTRG.1274","LRRC42"
"10078","MSTRG.1276","TMEM59"
"10079","MSTRG.1276","."
"10125","MSTRG.1284","MRPL37"
"10129","MSTRG.1285","."
"10135","MSTRG.1285","SSBP3"
"10162","MSTRG.1288","."
"10164","MSTRG.1288","ACOT11"
"10202","MSTRG.1288","TTC4"
"10206","MSTRG.1291","PARS2"
"10207","MSTRG.1292","TTC22"
"10216","MSTRG.1295","DHCR24"
"10240","MSTRG.1297","TMEM61"
"10244","MSTRG.1300","PCSK9"
"10249","MSTRG.1301","."
"10250","MSTRG.1301","USP24"
"10332","MSTRG.1313","PLPP3"
"10351","MSTRG.1321","C8A"
"10364","MSTRG.1322","C8B"
"10421","MSTRG.1329","RPS26P15"
"10431","MSTRG.1324","OMA1"
"10432","MSTRG.1324","."
"10446","MSTRG.1335","TACSTD2"
"10453","MSTRG.1338","MYSM1"
"10483","MSTRG.1339","JUN"
"10562","MSTRG.1350","FGGY"
"10571","MSTRG.1350","."
"10600","MSTRG.1353","HOOK1"
"10608","MSTRG.1354","CYP2J2"
"10613","MSTRG.1354","."
"10693","MSTRG.1359","NFIA"
"10718","MSTRG.1363","."
"10731","MSTRG.1363","TM2D1"
"10734","MSTRG.1365","."
"10742","MSTRG.1365","PATJ"
"10765","MSTRG.1372","L1TD1"
"10776","MSTRG.1376","USP1"
"10778","MSTRG.1376","."
"10780","MSTRG.1377","."
"10817","MSTRG.1379","."
"10818","MSTRG.1379","ANGPTL3"
"10921","MSTRG.1386","."
"10923","MSTRG.1386","ITGB3BP"
"10957","MSTRG.1397","PGM1"
"10994","MSTRG.1407","RAVER2"
"10996","MSTRG.1407","."
"10999","MSTRG.1408","JAK1"
"11062","MSTRG.1417","."
"11064","MSTRG.1417","AK4"
"11099","MSTRG.1423","LEPROT"
"11107","MSTRG.1423","."
"11111","MSTRG.1423","LEPR"
"11116","MSTRG.1426","."
"11132","MSTRG.1427","PDE4B"
"11204","MSTRG.1434","INSL5"
"11205","MSTRG.1435","DNAI4"
"11226","MSTRG.1437","MIER1"
"11228","MSTRG.1437","."
"11242","MSTRG.1438","."
"11243","MSTRG.1438","SLC35D1"
"11322","MSTRG.1447","."
"11323","MSTRG.1447","SERBP1"
"11351","MSTRG.1450","GADD45A"
"11358","MSTRG.1451","GNG12"
"11359","MSTRG.1451","."
"11373","MSTRG.1457","."
"11374","MSTRG.1457","WLS"
"11404","MSTRG.1461","."
"11407","MSTRG.1463","DEPDC1"
"11453","MSTRG.1474","LRRC40"
"11458","MSTRG.1476","."
"11466","MSTRG.1476","SRSF11"
"11486","MSTRG.1478","ANKRD13C"
"11502","MSTRG.1481","CTH"
"11506","MSTRG.1481","."
"11529","MSTRG.1488","."
"11530","MSTRG.1488","ZRANB2"
"11571","MSTRG.1492","NEGR1"
"11690","MSTRG.1503","."
"11693","MSTRG.1503","CRYZ"
"11699","MSTRG.1504","TYW3"
"11730","MSTRG.1509","ACADM"
"11792","MSTRG.1509","."
"11798","MSTRG.1509","RABGGTB"
"11859","MSTRG.1513","TPI1P1"
"11872","MSTRG.1516","PIGK"
"11875","MSTRG.1517","."
"11906","MSTRG.1524","."
"11919","MSTRG.1527","."
"11922","MSTRG.1527","USP33"
"11953","MSTRG.1529","."
"11959","MSTRG.1533","NEXN"
"11960","MSTRG.1533","."
"11979","MSTRG.1534","FUBP1"
"11982","MSTRG.1534","."
"12003","MSTRG.1536","."
"12005","MSTRG.1535","DNAJB4"
"12008","MSTRG.1535","GIPC2"
