"","feature","id","fc","pval","qval","logFC"
"4641","gene","MSTRG.26524",3.91680168498255,0.0115000605288298,0.0289372348320781,1.96967608378134
"4642","gene","MSTRG.4140",0.750124166494021,0.0115041455650625,0.0289412778778113,-0.414798673200871
"4643","gene","MSTRG.27308",1.93681968869698,0.0115090769555376,0.0289474479187526,0.953689650208014
"4644","gene","MSTRG.2990",1.71986233638145,0.0115320722848367,0.0289990396516629,0.782293091341234
"4645","gene","MSTRG.3371",1.3815060010171,0.0115364027844554,0.0290036839002951,0.466241828975453
"4646","gene","MSTRG.40429",1.48664573113005,0.0115405175661794,0.0290077839297982,0.572060892961959
"4647","gene","MSTRG.3953",4.37261671084345,0.011543841727937,0.029009895351592,2.12849689207327
"4648","gene","MSTRG.26974",1.20581382202114,0.011552864024803,0.0290263223067233,0.270007171929905
"4649","gene","MSTRG.4498",1.41245862192723,0.0115565738869082,0.0290293976879575,0.498208604296128
"4650","gene","MSTRG.27443",0.891400900233771,0.0115734469970838,0.029065529899343,-0.165853676945387
"4651","gene","MSTRG.23061",0.691417217527905,0.0115876113933691,0.0290948453777174,-0.532371565147557
"4652","gene","MSTRG.7312",0.636111531228093,0.0116012973826759,0.0291229472989874,-0.652648355411005
"4653","gene","MSTRG.7132",0.68290889540897,0.011613824780204,0.0291481293323066,-0.55023496865387
"4654","gene","MSTRG.32142",0.771825177363609,0.0116190722223168,0.0291550333932566,-0.373653988731474
"4655","gene","MSTRG.14921",1.20872356161051,0.0116288641667593,0.0291733352823664,0.273484334003623
"4656","gene","MSTRG.17276",1.23150484272134,0.0116350535568488,0.0291825935216667,0.300422301045418
"4657","gene","MSTRG.18013",1.32215783903148,0.0116551877960158,0.0292268162082613,0.402894415873758
"4658","gene","MSTRG.7483",1.15681636710546,0.0116628849812075,0.029234341187794,0.210159869378541
"4659","gene","MSTRG.10000",0.780918559551401,0.0116631953754009,0.029234341187794,-0.356755994481316
"4660","gene","MSTRG.38591",1.33210848275262,0.0116687650968892,0.0292420254938781,0.413711575769769
"4661","gene","MSTRG.18901",1.24331906491909,0.0116739462502531,0.0292440034323727,0.314196573387833
"4662","gene","MSTRG.21639",1.4698412198101,0.0116745627677446,0.0292440034323727,0.555660315765808
"4663","gene","MSTRG.20575",0.736543869918627,0.0116837661822062,0.0292554913899164,-0.441156637475324
"4664","gene","MSTRG.37275",0.613696321654804,0.0116841592603674,0.0292554913899164,-0.704403158546167
"4665","gene","MSTRG.607",0.811845747024033,0.0117184726216875,0.0293351175297034,-0.300722457555414
"4666","gene","MSTRG.35679",0.700519552663636,0.0117226421219565,0.0293392659023163,-0.5135027756557
"4667","gene","MSTRG.17736",1.38222509345726,0.011734826102161,0.029363466728313,0.466992575763259
"4668","gene","MSTRG.28501",0.607191816222398,0.0117524244641334,0.0293976729368677,-0.719775748756722
"4669","gene","MSTRG.2311",1.26158635115934,0.0117535309935122,0.0293976729368677,0.335238957107542
"4670","gene","MSTRG.25873",1.3475726786252,0.0117597593050187,0.0294069527117791,0.430363083934798
"4671","gene","MSTRG.35820",1.23643755209257,0.0117642555452618,0.0294089975268148,0.306189376354245
"4672","gene","MSTRG.3602",1.34626105212672,0.011765613670601,0.0294089975268148,0.428958188619412
"4673","gene","MSTRG.20120",0.788089869965943,0.0117720095766679,0.0294186877458437,-0.343567937843658
"4674","gene","MSTRG.14214",1.21573432584031,0.0117746177302824,0.029418910110021,0.281827991388884
"4675","gene","MSTRG.31835",1.69100392244111,0.0117906619429461,0.0294526952234705,0.757880006217307
"4676","gene","MSTRG.10846",1.54720945735093,0.0118450413111028,0.0295822053958636,0.629668518458661
"4677","gene","MSTRG.22739",0.743139417930597,0.0118532252604608,0.0295917352461453,-0.428295199482135
"4678","gene","MSTRG.4854",0.601627837087978,0.0118539251140151,0.0295917352461453,-0.733056773384343
"4679","gene","MSTRG.3527",1.31032950743489,0.0118749595945533,0.0296379094133776,0.389929650667836
"4680","gene","MSTRG.21802",1.31883985225338,0.0118806859188887,0.0296458654189705,0.399269387646901
"4681","gene","MSTRG.10409",0.716597759260253,0.0119274217270808,0.0297561270943922,-0.480764562515345
"4682","gene","MSTRG.3712",1.21503816665714,0.0119501042818897,0.0298063472456019,0.281001632334894
"4683","gene","MSTRG.5028",0.743667795349235,0.0119623914691227,0.0298306230143957,-0.427269797524344
"4684","gene","MSTRG.20453",0.795948183176265,0.0119781212516763,0.0298634713870785,-0.329253581590694
"4685","gene","MSTRG.7326",0.869930602548156,0.0120042758017671,0.0299222908885883,-0.201027778239742
"4686","gene","MSTRG.32372",1.15076031896621,0.0120823880839696,0.0301097512184352,0.202587379389635
"4687","gene","MSTRG.19998",3.26393663719908,0.01208463811961,0.0301097512184352,1.70661305054288
"4688","gene","MSTRG.7282",1.73125186822692,0.0120881519591454,0.030112081608127,0.791815628002405
"4689","gene","MSTRG.10396",1.22268838532738,0.0120972713726386,0.0301228464995667,0.290056765086799
"4690","gene","MSTRG.36226",0.757356424323036,0.012097632307156,0.0301228464995667,-0.400955678974751
"4691","gene","MSTRG.8650",2.55491120829361,0.0121108816922355,0.0301494087405513,1.35327315355805
"4692","gene","MSTRG.5443",1.38817995421052,0.0121240378581399,0.0301677147350757,0.473194601214985
"4693","gene","MSTRG.31910",1.88771351082237,0.0121252447128293,0.0301677147350757,0.91663983044246
"4694","gene","MSTRG.39528",0.788114692962526,0.0121280879294154,0.0301677147350757,-0.343522497023456
"4695","gene","MSTRG.37501",1.41009981887562,0.0121291730329133,0.0301677147350757,0.495797292481987
"4696","gene","MSTRG.19218",1.33827062991282,0.0121332617734975,0.0301677147350757,0.420369892476195
"4697","gene","MSTRG.23822",1.27316847019502,0.0121337348955858,0.0301677147350757,0.348423334426616
"4698","gene","MSTRG.7186",0.705520553508012,0.0121587360524753,0.0302191053375376,-0.503239982281473
"4699","gene","MSTRG.661",1.3936633302618,0.0121595800634603,0.0302191053375376,0.478882088879133
"4700","gene","MSTRG.15139",1.1267592023223,0.0121782449963066,0.0302590521418869,0.172179232694084
"4701","gene","MSTRG.4388",0.699802846881763,0.0122030854263573,0.0303117686798064,-0.514979561241514
"4702","gene","MSTRG.30056",1.52949074807639,0.0122071489890816,0.0303117686798064,0.613051380028069
"4703","gene","MSTRG.26525",3.63020475804115,0.0122072485101156,0.0303117686798064,1.86005092427596
"4704","gene","MSTRG.38742",0.589509566359239,0.0122230963974483,0.0303446683098218,-0.762412869931602
"4705","gene","MSTRG.29889",1.33335844617338,0.0122297020525326,0.0303546143612063,0.415064671650304
"4706","gene","MSTRG.21913",0.823630945209185,0.012302496591355,0.0305288047585727,-0.279930059403432
"4707","gene","MSTRG.13984",1.20474788284504,0.0123052086840707,0.0305290475913698,0.268731265770459
"4708","gene","MSTRG.31085",0.749163999016928,0.0123316719900166,0.0305795203891114,-0.416646522171958
"4709","gene","MSTRG.1586",1.29219651653546,0.0123321017715389,0.0305795203891114,0.369825490985231
"4710","gene","MSTRG.32073",1.12853691396229,0.012334520791405,0.0305795203891114,0.174453609242508
"4711","gene","MSTRG.9244",1.14113709986352,0.0123360267642665,0.0305795203891114,0.190472132039367
"4712","gene","MSTRG.7737",0.70954588613121,0.0123410413184402,0.0305854585137403,-0.495032108905498
"4713","gene","MSTRG.5254",0.73185788285202,0.0123486368009045,0.0305977892130198,-0.450364571529074
"4714","gene","MSTRG.19406",1.47255726560179,0.0123553088029364,0.0306078269411735,0.558323739450152
"4715","gene","MSTRG.15675",1.32972559375443,0.0123592778640033,0.0306111658315652,0.411128557474706
"4716","gene","MSTRG.38436",0.685941829597941,0.0123756899879643,0.0306453154536573,-0.543841859172848
"4717","gene","MSTRG.38116",1.47898033359596,0.0124145742732705,0.0307299458741436,0.564602868655904
"4718","gene","MSTRG.34137",1.35639097858347,0.0124151296997953,0.0307299458741436,0.439773094079217
"4719","gene","MSTRG.2442",0.735310175797802,0.0124402198820319,0.0307855240055878,-0.443575144680011
"4720","gene","MSTRG.14479",1.16154034617785,0.0124574888952951,0.0308217278218763,0.216039267121134
"4721","gene","MSTRG.39414",0.697963793126839,0.01246337743091,0.0308297652273177,-0.51877589631947
"4722","gene","MSTRG.36183",4.57279391675344,0.0124700433681308,0.030839721824022,2.19307590231188
"4723","gene","MSTRG.38722",2.84300116604368,0.0124774119144692,0.0308514114624541,1.50741469073021
"4724","gene","MSTRG.2125",0.627434691611456,0.0124960745287135,0.0308910157380009,-0.672462795173274
